#{"t_start": 1745691977.823762, "env_id": "None"}
r,l,t
1.0,3,4.898727
-1.5,5,4.898727
-1.5,4,4.907513
1.0,3,4.908513
1.0,4,4.913082
-2.0,5,4.917164
-1.5,4,4.920161
-1.5,5,4.92372
-1.5,4,4.927022
1.0,3,4.929861
1.0,4,4.933006
1.0,3,4.935251
1.0,4,4.938992
1.0,4,4.942202
-1.5,4,4.945796
-2.0,5,4.950166
1.0,3,4.953474
-1.5,4,4.956064
-1.5,4,4.960065
1.0,4,4.964163
1.0,3,4.966163
-2.0,5,4.970082
1.0,3,4.972797
1.0,3,4.975563
1.0,3,4.975563
-1.5,4,4.975563
1.0,4,4.9841
1.0,3,4.9841
-1.5,5,4.9841
1.0,4,4.9841
1.0,4,4.9841
-1.5,3,4.9841
1.0,3,4.9841
1.0,3,4.9841
-1.5,5,5.000197
1.0,4,5.000197
1.0,3,5.000197
1.0,4,5.010033
1.0,3,5.011952
1.0,3,5.011952
1.0,3,5.017116
1.0,3,5.017116
-2.0,5,5.022953
1.0,4,5.022953
1.0,3,5.022953
1.0,4,5.033529
1.0,4,5.037194
1.0,4,5.040618
-1.5,5,5.042177
1.0,3,5.045595
1.0,3,5.047345
1.0,4,5.047345
1.0,3,5.047345
-1.5,4,5.05331
1.0,3,5.056902
-2.0,5,5.056902
1.0,3,5.056902
1.0,4,5.063153
-1.5,5,5.068489
1.0,3,5.071317
1.0,4,5.071317
1.0,3,5.071317
-1.5,3,5.078844
-2.0,5,5.078844
1.0,3,5.083916
-1.5,4,5.085108
-1.5,5,5.085108
1.0,3,5.085108
-1.5,3,5.095777
1.0,3,5.098235
1.0,3,5.098235
-1.5,4,5.101981
-1.5,4,5.105598
1.0,3,5.105598
1.0,4,5.11061
1.0,3,5.11247
-1.5,3,5.114476
-1.5,3,5.118489
-2.0,5,5.122502
-2.0,5,5.124509
1.0,3,5.126848
1.0,3,5.130863
-2.0,5,5.134878
1.0,4,5.136885
1.0,3,5.136885
1.0,3,5.142212
-1.5,5,5.142212
1.0,3,5.142212
1.0,3,5.142212
-1.5,5,5.142212
1.0,3,5.142212
-2.0,5,5.158009
-1.5,3,5.160017
1.0,4,5.162023
1.0,4,5.164029
1.0,3,5.166035
1.0,4,5.168042
-2.0,5,5.170048
1.0,3,5.172054
-2.0,5,5.177154
1.0,4,5.179161
1.0,4,5.182164
-1.5,3,5.184161
-1.5,5,5.187207
-1.5,3,5.189207
1.0,3,5.191514
1.0,4,5.191514
-2.0,5,5.191514
1.0,3,5.199492
1.0,3,5.199492
1.0,3,5.199492
1.0,3,5.206884
1.0,4,5.211399
-2.0,5,5.213898
1.0,3,5.213898
-2.0,5,5.22105
-2.0,5,5.223918
-2.0,5,5.227263
1.0,4,5.231185
1.0,3,5.235838
1.0,3,5.235838
1.0,3,5.238844
-1.5,3,5.24085
1.0,3,5.24085
1.0,3,5.247465
1.0,4,5.249473
1.0,3,5.249473
-1.5,4,5.254495
-1.5,4,5.256956
1.0,4,5.256956
-1.5,5,5.26214
-2.0,5,5.266157
-1.5,4,5.268164
1.0,4,5.272176
1.0,3,5.274183
1.0,4,5.276189
-1.5,4,6.264768
1.0,3,6.268774
-2.0,5,6.272779
1.0,3,6.274782
1.0,3,6.276785
1.0,3,6.278528
1.0,4,6.282535
1.0,4,6.284537
1.0,3,6.28654
1.0,4,6.290545
-2.0,5,6.294291
1.0,3,6.296294
-1.5,4,6.298297
1.0,3,6.300299
1.0,3,6.302302
1.0,3,6.304304
-2.0,5,6.30831
-2.0,5,6.312058
1.0,3,6.314062
1.0,3,6.316065
1.0,3,6.318068
1.0,4,6.32007
-1.5,4,6.324076
1.0,3,6.326083
1.0,4,6.328087
1.0,4,6.332093
1.0,3,6.334097
-2.0,5,6.338241
1.0,3,6.340246
1.0,4,6.341992
1.0,3,6.343997
1.0,3,6.346001
1.0,3,6.350011
1.0,4,6.352015
1.0,4,6.354018
1.0,4,6.356021
1.0,3,6.358303
1.0,3,6.360308
1.0,3,6.362311
1.0,3,6.366058
1.0,3,6.368061
1.0,3,6.370063
1.0,3,6.372068
-1.5,5,6.376327
1.0,3,6.376327
1.0,3,6.379926
-2.0,5,6.382086
1.0,4,6.386853
1.0,3,6.389758
1.0,3,6.39207
1.0,3,6.394221
0.5,5,6.394221
-2.0,5,6.394221
1.0,4,6.402088
1.0,4,6.407657
1.0,4,6.407657
-1.5,3,6.407657
1.0,4,6.414585
-1.5,5,6.417265
1.0,4,6.422082
-1.5,5,6.426097
1.0,5,6.428105
1.0,3,6.430113
1.0,4,6.434129
1.0,3,6.436137
1.0,4,6.439652
1.0,4,6.441659
1.0,3,6.443666
1.0,3,6.447681
1.0,4,6.449688
1.0,3,6.451696
1.0,3,6.454776
1.0,3,6.456784
-2.0,5,6.460798
1.0,3,6.460798
-2.0,5,6.460798
1.0,3,6.460798
1.0,3,6.470234
1.0,4,6.470234
1.0,4,6.47457
1.0,3,6.477033
-2.0,5,6.477033
1.0,3,6.477033
1.0,4,6.477033
1.0,3,6.48499
1.0,4,6.486132
-2.0,5,6.493876
1.0,3,6.49789
-1.5,4,6.500905
1.0,5,6.504918
1.0,3,6.50835
1.0,3,6.509739
1.0,5,6.512056
-2.0,5,6.516565
1.0,3,6.520202
1.0,3,6.524218
-1.5,3,6.526227
1.0,3,6.528234
-1.5,4,6.530242
-2.0,5,6.534255
-1.5,4,6.538271
-2.0,5,6.542499
1.0,3,6.544595
1.0,3,6.547227
-1.5,4,6.54999
0.5,5,6.552622
1.0,3,6.555036
1.0,3,6.557044
1.0,4,6.561058
1.0,3,6.563639
-2.0,5,6.567655
1.0,3,6.569491
-1.5,4,6.572797
1.0,4,6.574799
1.0,3,6.578807
1.0,4,6.581533
1.0,4,6.581533
-1.5,5,6.581533
1.0,3,6.581533
-1.5,5,6.590976
-1.5,4,6.592085
1.0,3,6.594682
1.0,3,6.594682
1.0,4,6.594682
-1.5,5,6.594682
1.0,3,6.604228
1.0,3,6.606236
-1.5,4,6.61025
1.0,3,6.612258
0.5,5,6.616273
1.0,4,6.618279
1.0,3,6.620286
1.0,3,6.622291
1.0,3,6.624297
-2.0,5,6.626044
1.0,4,6.630218
-1.5,4,6.634267
1.0,3,6.636276
-2.0,5,6.64029
-1.5,5,6.644133
-2.0,5,6.648147
-1.5,4,6.652162
1.0,3,6.654169
-1.5,4,6.657925
1.0,3,6.659933
1.0,4,6.663948
1.0,3,6.665955
-1.5,4,6.667963
1.0,4,6.671978
1.0,4,6.673728
1.0,3,6.677052
1.0,3,6.679059
1.0,4,6.683072
-1.5,4,6.68508
1.0,3,6.689094
1.0,3,6.690415
1.0,4,6.69361
-1.5,3,6.69361
-2.0,5,6.699512
1.0,3,6.702368
-2.0,5,6.705178
1.0,3,6.707184
1.0,4,6.707184
1.0,3,6.713407
1.0,4,6.713407
1.0,3,6.718776
1.0,3,6.721298
-1.5,4,6.723303
1.0,3,6.727278
-1.5,4,6.727278
1.0,3,6.731774
1.0,3,6.734211
-2.0,5,6.737217
1.0,3,6.741021
1.0,3,6.741021
1.0,4,6.741021
-1.5,4,6.748024
1.0,4,6.753634
1.0,3,6.758642
1.0,3,6.760002
-2.0,5,6.763379
1.0,3,6.76538
-1.5,3,6.76755
1.0,3,6.770388
1.0,3,6.772504
-2.0,5,6.775659
1.0,3,6.776692
-2.0,5,6.781886
1.0,3,6.784616
1.0,4,6.786052
-1.5,5,6.790861
-1.5,3,6.793215
-1.5,3,6.795981
-1.5,5,6.802223
1.0,3,6.804233
1.0,4,6.80768
1.0,3,6.809697
-1.5,4,6.812135
1.0,3,6.813531
1.0,3,6.813531
1.0,3,6.817203
-1.5,5,6.822092
-1.5,5,6.825526
1.0,3,6.82671
-1.5,5,6.831399
-1.5,4,6.833615
1.0,3,6.83707
1.0,4,6.839338
1.0,3,6.840517
1.0,4,6.845252
1.0,3,6.847498
1.0,4,6.848963
-2.0,5,6.853231
1.0,3,6.854447
1.0,3,6.859119
-1.5,4,6.861301
1.0,5,6.864846
1.0,3,6.867165
1.0,3,6.868317
1.0,3,6.870674
1.0,3,6.87355
1.0,3,6.875669
-1.5,3,6.876763
1.0,4,6.881011
1.0,3,6.883351
1.0,3,6.886872
-1.5,3,6.888996
1.0,4,6.890364
-1.5,4,6.894165
1.0,3,6.896395
1.0,4,6.897729
1.0,3,6.902217
1.0,4,6.904852
1.0,3,6.906505
1.0,3,6.908777
-1.5,4,6.911329
-1.5,4,6.915856
1.0,3,6.918215
1.0,3,6.921631
1.0,4,6.925024
1.0,3,6.927306
-1.5,3,6.930543
1.0,3,6.932542
1.0,3,6.935542
-1.5,4,6.938543
-2.0,5,6.943055
1.0,3,6.945595
1.0,4,6.948101
-1.5,5,6.951782
-2.0,5,6.956084
1.0,4,6.958189
1.0,3,6.960729
1.0,3,6.962882
-1.5,3,6.966138
-1.5,4,6.966138
1.0,3,6.970684
1.0,3,6.972966
1.0,3,6.976475
1.0,3,6.978653
1.0,4,6.981986
1.0,4,6.984966
0.5,5,6.987967
1.0,4,6.990555
1.0,4,6.990555
-2.0,5,6.990555
1.0,3,6.990555
1.0,3,6.990555
-1.5,5,7.003464
1.0,3,7.005875
1.0,3,7.005875
