#{"t_start": 1745253351.5472279, "env_id": "None"}
r,l,t
0.5,5,6.262527
0.5,5,6.269238
-1.0,4,6.273099
-1.0,4,6.278624
1.0,4,6.282629
-1.0,4,6.286779
1.0,4,6.290841
-1.0,4,6.295354
1.0,4,6.299432
0.5,5,6.304789
-1.0,3,6.306984
-1.0,3,6.311003
1.0,4,6.31437
-1.0,3,6.317629
1.0,5,6.321059
1.0,4,6.327262
-1.0,4,6.327262
1.0,4,6.335602
1.0,4,6.340043
1.0,4,6.344617
1.0,5,6.34892
-1.0,4,6.354819
1.0,5,6.359345
1.0,4,6.36245
-1.0,3,6.365962
0.5,5,6.369711
0.5,5,6.374213
1.0,3,6.377538
1.0,4,6.380544
-1.0,4,6.384757
1.0,4,6.388531
1.0,3,6.391392
1.0,5,6.398462
-1.0,4,6.401133
-1.0,4,6.406522
1.0,4,6.407769
1.0,4,6.412448
0.5,5,6.41625
1.0,4,6.419482
1.0,5,6.421645
0.5,5,6.429235
-1.0,3,6.432339
1.0,4,6.435349
1.0,5,6.440236
-1.0,4,6.441315
1.0,5,6.447356
-1.0,3,6.447356
1.0,4,6.454701
1.0,3,6.456867
1.0,4,6.46049
-1.0,4,6.464234
1.0,3,6.466249
0.5,5,6.467347
-1.0,4,6.471875
1.0,4,6.478072
-1.0,4,6.480556
1.0,4,6.480556
-1.0,3,6.486574
1.0,4,6.490998
1.0,3,6.493391
1.0,3,6.49681
1.0,5,6.500395
1.0,4,6.505379
-1.0,3,6.50841
-1.0,4,6.514184
1.0,5,6.521151
1.0,4,6.525663
-1.0,3,6.528191
0.5,5,6.539278
1.0,4,6.544783
-1.0,3,6.547808
0.5,5,6.552806
1.0,4,6.556315
1.0,5,6.560824
0.5,5,6.565332
1.0,3,6.567848
1.0,3,6.570799
1.0,4,6.574006
0.5,5,6.578251
1.0,5,6.582259
1.0,5,6.589213
1.0,4,6.598597
-1.0,4,6.600346
1.0,3,6.602998
0.5,5,6.607343
1.0,5,6.607343
1.0,5,6.61755
1.0,3,6.61755
1.0,4,6.61755
-1.0,4,6.62692
-1.0,3,6.628833
-1.0,4,6.632339
-1.0,4,6.636473
-1.0,4,6.640824
1.0,4,6.646946
1.0,5,6.653997
0.5,5,6.658585
1.0,3,6.661585
0.5,5,6.665585
1.0,5,6.669735
1.0,3,6.672735
1.0,5,6.677256
1.0,5,6.677256
1.0,4,6.677256
-1.0,4,6.688933
0.5,5,6.692948
1.0,5,6.696494
1.0,4,6.701046
1.0,5,6.704699
1.0,5,6.709786
1.0,5,6.711012
1.0,5,6.717771
1.0,5,6.717771
1.0,4,6.726599
0.5,5,6.727328
1.0,4,6.727328
1.0,3,6.736347
1.0,3,6.737359
1.0,5,6.742994
1.0,5,6.746573
1.0,4,6.751533
0.5,5,6.755546
0.5,5,6.761198
1.0,5,6.766268
-1.0,4,6.767372
0.5,5,6.772792
1.0,3,6.776323
1.0,5,6.777632
0.5,5,6.78302
1.0,5,6.787621
